[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Platform_TopMiddle
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 2.000000 Y 1.000000 Z 0.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Platform_TopMiddle.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Platform_TopRight
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 8.000000 Y 1.000000 Z 0.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Platform_TopRight.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Cloud1
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 0.000000 Y 10.000000 Z -5.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Cloud1.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Cloud2
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 2.000000 Y 10.000000 Z 5.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Cloud2.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Cloud2.001
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 7.000000 Y 10.000000 Z -2.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Cloud2.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Cloud3
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X -2.000000 Y 10.000000 Z 0.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Cloud3.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Mushroom
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 0.300000 Y 2.000000 Z 0.800000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Mushroom.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Mushroom.001
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 0.300000 Y 2.000000 Z -0.800000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Mushroom.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Mushroom.002
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X -0.800000 Y 2.000000 Z -0.100000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Mushroom.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Mushroom.003
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 0.000000 Y 2.000000 Z 0.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Mushroom.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
